"sep=;"
URL;SEARCH_NAME;FOUND_NAME;ADDRESS;ZIP;CITY;PHONE;WEBSITE;MATCHING_CRITERIA
http://gulasidorna.eniro.se/f/aleris-h%C3%A4lsocentral-voxnadalen:49639099;Aleris Voxnadalens Hälsocentral;Aleris Hälsocentral Voxnadalen;Långg. 59;82230;ALFTA;0271-251287;www.aleris.se;Aleris Voxnadalens Hälsocentral Långgatan 59
http://gulasidorna.eniro.se/f/barnav%C3%A5rdscentral-aleris-h%C3%A4lsocentral-voxnadalen:49890602;Aleris Voxnadalens Hälsocentral;Barnavårdscentral Aleris Hälsocentral Voxnadalen;Långg. 59, ;82230;ALFTA;0271-55500;www.aleris.se;Aleris Voxnadalens Hälsocentral Långgatan 59
http://gulasidorna.eniro.se/f/alfta-din-h%C3%A4lsocentral:4013732;Alfta Hälsocentral;Alfta Din hälsocentral;Stationsg. 3, ;82230;ALFTA;0271-19600;www.lg.se;Alfta Hälsocentral Stationsgatan 3
http://gulasidorna.eniro.se/f/distriktssk%C3%B6terskemottagning-alfta-din-h%C3%A4lsocentral:49958562;Alfta Hälsocentral;Distriktssköterskemottagning Alfta Din hälsocentral;Stationsg. 3, ;82230;ALFTA;0271-19608;www.lg.se;Alfta Hälsocentral Stationsgatan 3
http://gulasidorna.eniro.se/f/barnav%C3%A5rdscentral-alfta-din-h%C3%A4lsocentral:49890678;Alfta Hälsocentral;Barnavårdscentral Alfta Din hälsocentral;Stationsg. 3, ;82230;ALFTA;0271-19610;www.lg.se;Alfta Hälsocentral Stationsgatan 3
NOT FOUND;Carema Vårdcentral Noltorp;;;;;;;
http://gulasidorna.eniro.se/f/s%C3%A4vel%C3%A5ngen-familjel%C3%A4kare-och-bvc:11874733;Sävelången Familjeläkare och BVC;Sävelången Familjeläkare och BVC;Ingaredsg. 70, ;44165;ALINGSÅS;0322-229800;www.savelangenfamiljela...;Sävelången Familjeläkare och BVC Ingaredsgatan 70
http://gulasidorna.eniro.se/f/v%C3%A5rdcentralen-centrum:65939070;Vårdcentralen Centrum;Vårdcentralen Centrum;Bredgränd 18;75320;UPPSALA;018-6111420;www.familjedoktorerna.se/centrum/;Vårdcentralen Centrum
http://gulasidorna.eniro.se/f/v%C3%A5rdcentral-centrum:14443951;Vårdcentralen Centrum;Vårdcentral Centrum;Stationsg. 10, ;54130;SKÖVDE;0500-381850;www.vccentrumskovde.se;Vårdcentralen Centrum
http://gulasidorna.eniro.se/f/h%C3%A4lsocentralen-centrum:50449292;Vårdcentralen Centrum;Hälsocentralen Centrum;Norrmalmsg. 2, ;85234;SUNDSVALL;060-182410;www.lvn.se/centrum;Vårdcentralen Centrum
http://gulasidorna.eniro.se/f/v%C3%A5rdcentralen-centrum:35224773;Vårdcentralen Centrum;Vårdcentralen Centrum;Skiftesv. 8, ;26153;LANDSKRONA;0418-651400;www.skane.se/;Vårdcentralen Centrum
http://gulasidorna.eniro.se/f/v%C3%A5rdcentral-centrum:14286590;Vårdcentralen Centrum;Vårdcentral centrum;N. Esplanaden 35, ;35231;VÄXJÖ;0470-589500;www.ltkronoberg.se;Vårdcentralen Centrum
http://gulasidorna.eniro.se/f/v%C3%A5rdcentralen-centrum-br%C3%A4cke-diakoni:16041048;Vårdcentralen Centrum;Vårdcentralen Centrum, Bräcke diakoni;Kungsg. 5;44130;ALINGSÅS;0322-280150;www.brackediakoni.se;Vårdcentralen Centrum
