"sep=;"
URL;SEARCH_NAME;FOUND_NAME;ADDRESS;ZIP;CITY;PHONE;WEBSITE;MATCHING_CRITERIA
http://www.hitta.se//alfta+lions+club/alfta/xWRjjsC5X4?vad=L%C3%A5nggatan+59%2C+82230+Alfta;Aleris Voxnadalens Hälsocentral;Alfta Lions Club;Långgatan 59 D;82230;Alfta;;;Långgatan 59, 82230 Alfta
http://www.hitta.se//kb+alfta+bok+o+pappershandel/alfta/xWljXnUUU1?vad=L%C3%A5nggatan+59%2C+82230+Alfta;Aleris Voxnadalens Hälsocentral;KB Alfta Bok O Pappershandel;Långgatan 59 D;82230;Alfta;0271-100 59;;Långgatan 59, 82230 Alfta
http://www.hitta.se//direkten/alfta/xRj5UUAKeu?vad=L%C3%A5nggatan+59%2C+82230+Alfta;Aleris Voxnadalens Hälsocentral;Direkten;Långgatan 59 D;82230;Alfta;0271-100 59;http://www.direkten.se;Långgatan 59, 82230 Alfta
http://www.hitta.se//handelsbanken/alfta/yxxP-mOOOU?vad=L%C3%A5nggatan+59%2C+82230+Alfta;Aleris Voxnadalens Hälsocentral;Handelsbanken;Långgatan 59;82230;Alfta;0271-619 60,0271-619 66,020-41 12 12;http://www.handelsbanken.se/alfta;Långgatan 59, 82230 Alfta
http://www.hitta.se//alfta+din+h%C3%A4lsocentral/alfta/xM_XmGkAAK?vad=Alfta+H%C3%A4lsocentral%2CStationsgatan+3;Alfta Hälsocentral;Alfta Din Hälsocentral;Stationsgatan 3;82230;Alfta;0271-196 00,026-15 40 00;http://www.lg.se/dinhalsocentral;Alfta Hälsocentral,Stationsgatan 3
http://www.hitta.se//barnav%C3%A5rdscentral+h%C3%A4lsocentral+alfta+v%C3%A5rdcentral/alfta/xg24vUoJAK?vad=Alfta+H%C3%A4lsocentral%2CStationsgatan+3;Alfta Hälsocentral;Barnavårdscentral Hälsocentral Alfta Vårdcentral;Stationsgatan 3;82230;Alfta;0271-196 10;;Alfta Hälsocentral,Stationsgatan 3
http://www.hitta.se//distriktssk%C3%B6terska+h%C3%A4lsocentral+alfta+v%C3%A5rdcentral/alfta/VdWCw4HGqb?vad=Alfta+H%C3%A4lsocentral%2CStationsgatan+3;Alfta Hälsocentral;Distriktssköterska Hälsocentral Alfta Vårdcentral;Stationsgatan 3;82230;Alfta;0271-196 12,0271-196 09,0271-196 11,0271-196 08;;Alfta Hälsocentral,Stationsgatan 3
http://www.hitta.se//m%C3%B6drav%C3%A5rdscentral+h%C3%A4lsocentral+alfta+v%C3%A5rdcentral/alfta/LzRw5vGqbk?vad=Alfta+H%C3%A4lsocentral%2CStationsgatan+3;Alfta Hälsocentral;Mödravårdscentral Hälsocentral Alfta Vårdcentral;Stationsgatan 3;82230;Alfta;0271-196 00;;Alfta Hälsocentral,Stationsgatan 3
http://www.hitta.se//apelsinens+f%C3%B6rskola/alings%C3%A5s/yS25X4OUHG?vad=S%C3%A4terigatan+122%2C+44156+Alings%C3%A5s;Carema Vårdcentral Noltorp;Apelsinens Förskola;Säterigatan 122;44155;Alingsås;073-988 03 39,070-418 05 66,0322-122 76,073-985 93 02;http://www.ulna.se;Säterigatan 122, 44156 Alingsås
http://www.hitta.se//apoteket+noltorp/alings%C3%A5s/0xTjZ5OooJ?vad=S%C3%A4terigatan+122%2C+44156+Alings%C3%A5s;Carema Vårdcentral Noltorp;Apoteket Noltorp;Säterigatan 122;44155;Alingsås;0771-450 450;;Säterigatan 122, 44156 Alingsås
http://www.hitta.se//medpro+clinic+noltorp+v%C3%A5rdcentral+ab/alings%C3%A5s/LddP255Xvm?vad=S%C3%A4terigatan+122%2C+44156+Alings%C3%A5s;Carema Vårdcentral Noltorp;Medpro Clinic Noltorp Vårdcentral AB;Säterigatan 122;44155;Alingsås;;;Säterigatan 122, 44156 Alingsås
http://www.hitta.se/s%C3%B6k?vad=S%C3%A4vel%C3%A5ngen+Familjel%C3%A4kare+och+BVC%2CIngaredsgatan+70;Sävelången Familjeläkare och BVC;Sävelången Familjeläkare och BVC;Ingaredsgatan 70;44165;Alingsås;0322-22 98 00,0322-22 98 19;http://www.savelangenfamiljelakare.se;Sävelången Familjeläkare och BVC,Ingaredsgatan 70
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Centrum%2CKungsgatan+5;Vårdcentralen Centrum;Vårdcentralen Centrum, Bräcke diakoni;Kungsgatan 5;44130;Alingsås;0322-28 01 50;http://www.brackediakoni.se;Vårdcentralen Centrum,Kungsgatan 5
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+S%C3%B6rhaga%2CS%C3%B6dra+Ringgatan+34+B;Vårdcentralen Sörhaga;Närhälsan Sörhaga vårdcentral;Södra Ringgatan 34 B;44133;Alingsås;0322-22 65 50;http://www.narhalsan.se/sorhagavardcentral;Vårdcentralen Sörhaga,Södra Ringgatan 34 B
http://www.hitta.se/s%C3%B6k?vad=%C3%84ngabo+v%C3%A5rdcentral%2CSundsbergsv%C3%A4gen+7;Ängabo vårdcentral;Närhälsan Ängabo vårdcentral;Sundsbergsvägen 7;44150;Alingsås;010-435 92 10,1177,0322-22 62 00;http://www.narhalsan.se/angabovardcentral;Ängabo vårdcentral,Sundsbergsvägen 7
http://www.hitta.se/s%C3%B6k?vad=Aln%C3%B6+V%C3%A5rdcentral%2CRaholmsv%C3%A4gen+24;Alnö Vårdcentral;Alnö Vårdcentral;Raholmsvägen 24;86531;Alnö;060-740 48 00,060-740 48 91,060-18 10 70,060-740 48 61,060-740 48 43,060-740 48 40;http://www.alnovardcentral.se;Alnö Vårdcentral,Raholmsvägen 24
http://www.hitta.se/s%C3%B6k?vad=H%C3%A4lsocentralen+Falken%2CDoktorsv%C3%A4gen+3;Hälsocentralen Falken;Vårdcentralen Hälsocentralen Falken;Doktorsvägen 3;36075;Alstermo;0481-36 69 30;http://www.hcfalken.se;Hälsocentralen Falken,Doktorsvägen 3
http://www.hitta.se/s%C3%B6k?vad=Alunda+v%C3%A5rdcentral%2CParkv%C3%A4gen+8;Alunda vårdcentral;Alunda Vårdcentral;Parkvägen 8;74730;Alunda;018-611 03 10;http://www.lul.se/alunda;Alunda vårdcentral,Parkvägen 8
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Alvesta%2CCentralgatan+9+D;Vårdcentralen Alvesta;Alvesta Vårdcentral;Centralgatan 9 D;34230;Alvesta;0472-38 92 00,0470-58 78 00;http://www.ltkronoberg.se/Centrum/Primrehabcent/Vardcentraler/Vardcentralen-Alvesta;Vårdcentralen Alvesta,Centralgatan 9 D
